property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in RT Nagar Kaval Bairasandra Bangalore, None, 825 sqft, Ready to Move, 1 out of 6,New Property, Semi-Furnished, East, Freehold, 1 Covered, 1, 1, ₹55 Lac, ₹6 478 per sqft
2 BHK Apartment for Sale in Tejaswini Nagar Bangalore, None, 1080 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 2, ₹66.5 Lac, ₹5 407 per sqft
3 BHK  House for Sale in Maragondanahalli Village  Bangalore Bangalore, None, 1500 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 1, ₹79 Lac, ₹4 647 per sqft
5 BHK  House for Sale in Stage 1st Nagarbhavi Bangalore, None, 7000 sqft, Ready to Move, Ground out of 4,Resale, Semi-Furnished, South -West, Freehold, None, 4, 2, ₹7 Cr, ₹9 150 per sqft
3 BHK Apartment for Sale in Bommanahalli Bangalore, Sri Sai Royale Apartment, 1008 sqft, Ready to Move, 3 out of 4,Resale, Furnished, None, None, None, 2, None, ₹55 Lac, ₹5 456 per sqft
2 BHK  House for Sale in Bannerghatta Main Road Bangalore, None, 600 sqft, Ready to Move, None,Resale, Unfurnished, None, None, None, 3, 1, ₹72 Lac, ₹12 000 per sqft
3 BHK Apartment for Sale in MSV Vivek Marvel Bangalore, None, 1480 sqft, Ready to Move, 2 out of 4,Resale, Furnished, None, None, None, 2, None, ₹85 Lac, ₹5 743 per sqft
4 BHK  House for Sale in Banashankari 3rd stage Bangalore, None, 2400 sqft, Ready to Move, 3 out of 3,New Property, Furnished, North - East, Freehold, None, 4, 4, ₹1.40 Cr, ₹23 333 per sqft
2 BHK  House for Sale in RR Nagar Bangalore, None, 1200 sqft, Ready to Move, Ground out of 3,Resale, Unfurnished, None, None, None, 1, None, ₹1.60 Cr, ₹13 333 per sqft
4 BHK  House for Sale in Vishweshwaraiah layout 8th block Bangalore, None, 2000 sqft, Ready to Move, None,Resale, Unfurnished, East, Freehold, None, 4, 1, ₹1.47 Cr, None
2 BHK Apartment for Sale in Thanisandra Bangalore, Vajram Essenza, 950 sqft, Ready to Move, 2 out of 14,Resale, Semi-Furnished, None, None, None, 2, 2, ₹1 Cr, ₹8 058 per sqft
2 BHK Apartment for Sale in Kanakapura Road Bangalore, None, 1200 sqft, Ready to Move, Ground out of 4,Resale, Furnished, None, None, None, 2, None, ₹75 Lac, ₹6 250 per sqft
2 BHK Apartment for Sale in Kachanayakanahalli  Bommasandra Bangalore, Iconest3, 642 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, None, None, None, 2, None, ₹44 Lac, ₹6 854 per sqft
2 BHK  House for Sale in Gollarahatti Bangalore, None, 1000 sqft, Ready to Move, Ground out of 1,Resale, Furnished, None, None, None, 3, None, ₹40 Lac, None
