property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
7 BHK Builder Floor for Sale in Block B Brij Vihar Ghaziabad, None, 500 sqft, Ready to Move, 3 out of 3,Resale, Semi-Furnished, East, Freehold, None, 3, 4, ₹65 Lac, ₹4 333 per sqft
4 BHK Apartment for Sale in MKS La Royale  Indirapuram Ghaziabad, MKS La Royale, 2615 sqft, Ready to Move, 15 out of 21,Resale, Unfurnished, East, Freehold, 1 Covered, 4, 3, ₹1.50 Cr, ₹5 736 per sqft
2 BHK Apartment for Sale in Shipra Neo  Vaibhav Khand  Indirapuram Ghaziabad, Shipra Neo, 1200 sqft, Ready to Move, 10 out of 14,Resale, Semi-Furnished, None, Freehold, 1 Covered, 2, 2, ₹70 Lac, ₹5 833 per sqft
2 BHK Apartment for Sale in Mahagunpuram 2  Mehrauli Ghaziabad, Mahagunpuram 2, 840 sqft, Ready to Move, 1 out of 25,Resale, Semi-Furnished, None, Freehold, None, 2, 4, ₹36 Lac, ₹4 286 per sqft
2 BHK Apartment for Sale in Crossings Republik Ghaziabad, None, 1215 sqft, Ready to Move, 11 out of 19,Resale, Semi-Furnished, None, Freehold, None, 2, 4, ₹63 Lac, ₹5 185 per sqft
6 BHK  House for Sale in Nehru Nagar 3 Ghaziabad, None, 780 sqyrd, Ready to Move, 2 out of 3,Resale, Furnished, North, Freehold, 3 Open, 5, 6, ₹4.25 Cr, ₹16 865 per sqft
2 BHK Apartment for Sale in Bharat City 2  Bhopura Ghaziabad, Bharat City 2, 900 sqft, Ready to Move, 11 out of 14,New Property, Unfurnished, West, Freehold, None, 2, 3, ₹28 Lac, ₹2 667 per sqft
4 BHK Apartment for Sale in Indirapuram Ghaziabad, None, 2100 sqft, None, 5 out of 9,Resale, Semi-Furnished, East, Freehold, None, 4, None, ₹67.2 Lac, ₹3 200 per sqft
4 BHK  House for Sale in Swarnjyantipuram  Govindpuram Ghaziabad, Swarnjyantipuram, 240 sqyrd, Ready to Move, None,New Property, Furnished, None, Freehold, None, 3, 2, ₹95 Lac, ₹4 398 per sqft
2 BHK Builder Floor for Sale in Kavi Nagar Ghaziabad, None, 120 sqm, Ready to Move, 2 out of 3,Resale, Unfurnished, None, Freehold, None, 2, None, ₹53 Lac, ₹4 103 per sqft
2 BHK Apartment for Sale in Mahaluxmi Homz  Anand Vihar Kaushambi Ghaziabad, Mahaluxmi Homz, 1210 sqft, Ready to Move, 7 out of 14,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹98 Lac, ₹8 099 per sqft
2 BHK Apartment for Sale in Charms Castle  Raj Nagar Extension Ghaziabad, Charms Castle, 750 sqft, Ready to Move, 6 out of 24,Resale, Semi-Furnished, East, Freehold, None, 2, 3, ₹35 Lac, ₹3 684 per sqft
2 BHK Apartment for Sale in Charms Solitaire  Indirapuram Ghaziabad, Charms Solitaire, 1290 sqft, Ready to Move, 10 out of 11,Resale, Semi-Furnished, North - East, Freehold, None, 2, 3, ₹65 Lac, ₹5 039 per sqft
4 BHK Builder Floor for Sale in Sector 1 Vasundhara Ghaziabad, None, 150 sqm, Ready to Move, 1 out of 4,New Property, Semi-Furnished, None, Freehold, None, 3, 3, ₹1.60 Cr, ₹8 744 per sqft
3 BHK Apartment for Sale in Niho Scottish Garden  Ahinsa Khand-2  Indirapuram Ghaziabad, Niho Scottish Garden, 1485 sqft, Ready to Move, 7 out of 11,Resale, Semi-Furnished, South - East, Leasehold, 1 Covered, 2, 2, ₹90 Lac, ₹6 061 per sqft
4 BHK Apartment for Sale in Mahagun Montagge  Crossings Republik Ghaziabad, Mahagun Montagge, 1339 sqft, Poss. by Sep '25, 1 out of 30,Resale, Unfurnished, North - East, Freehold, None, 4, 4, ₹1.10 Cr, ₹5 392 per sqft
3 BHK Apartment for Sale in Ahinsa Khand-1  Indirapuram Ghaziabad, None, 1550 sqft, Ready to Move, 9 out of 11,Resale, Semi-Furnished, East, Freehold, 1 Open, 2, 4, ₹85 Lac, ₹5 484 per sqft
